stud_ID,name,exam_1,exam_2,exam_3,notes,letter_grade
f48f73,Nicole Carter,55,73,89,missed homework frequently -10,C
0bd4e7,Tammy Myers,77,69,82,great final presentation +10,B
e1795d,Lillian Lucas,69,83,89,missed class frequently -10,B
cb9d7a,Danielle Graham,65,87,74,missed homework frequently -10,C
9acca4,Wilbur Fleming,53,76,77,missed homework frequently -10,C
745c23,Cecilia Phelps,89,92,76,great participation +10,B
24d6f2,Brent Long,9,92,93,"cheated on exam, gets 0pts",D
e5af86,Shirley Marshall,71,83,91,missed class frequently -10,B
0aa465,Johanna Turner,10,56,83,"cheated on exam, gets 0pts",F
cac6eb,Micheal Casey,73,77,91,missed homework frequently -10,C
d52614,Shawna Weber,77,68,79,missed homework frequently -10,C
5afd5d,Patricia Webb,79,92,85,great final presentation +10,D
952d9a,Alexandra Rodgers,75,67,88,missed homework frequently -10,C
4629d7,Della Butler,75,71,65,missed homework frequently -10,D
28f8b4,Delores Stevens,63,78,62,missed class frequently -10,B
851614,Rogelio Welch,81,76,90,great final presentation +10,B
9f6431,Beulah Martinez,89,78,92,great final presentation +10,A
f288e4,Sheri Castro,66,56,77,missed class frequently -10,F
5a53c9,Owen Hampton,88,85,78,great participation +10,A
edeb53,Robert Reed,75,63,87,great final presentation +10,B
9b7f42,Wesley Peterson,66,92,89,great participation +10,B
01ed51,Jane Patton,88,78,88,missed class frequently -10,C
10ec62,Dominick Cross,76,75,91,missed class frequently -10,C
5eef2c,Andy Woods,73,80,88,great participation +10,B
71d7b9,Eleanor Moss,92,61,73,missed homework frequently -10,C
b2ec67,Kristen Buchanan,83,65,85,missed homework frequently -10,C
fbffe2,Ella Pope,89,81,94,great participation +10,A
752905,Leo Hunter,82,86,87,great final presentation +10,B
cfc98d,Adrienne Freeman,83,94,87,missed homework frequently -10,B
d7c575,Ruben Olson,73,93,87,great participation +10,B
b3112c,Eileen Mcdonald,93,89,90,great final presentation +10,B
13b36e,Van Todd,96,96,90,great final presentation +10,A
c1085a,Sylvester Craig,80,76,77,missed class frequently -10,B
f5427e,Lee Briggs,89,70,89,missed homework frequently -10,C
e1dffd,Roosevelt Francis,123,89,87,great final presentation +10,A
6699cc,Armando Mckenzie,78,83,84,missed homework frequently -10,C
11d11f,Caleb Kelly,79,78,74,missed class frequently -10,B
5d086b,Guadalupe Reese,70,75,84,missed homework frequently -10,B
cd1b96,Rosa Black,67,55,88,missed class frequently -10,C
d88e3d,Carlton Steele,93,84,89,great final presentation +10,A
7630c7,Alton Walsh,11,82,96,"cheated on exam, gets 0pts",D
6ff175,Pamela Henry,7,80,92,"cheated on exam, gets 0pts",B
6243e0,Madeline Santos,66,81,79,missed homework frequently -10,C
02e64e,Clay Gonzalez,88,89,92,great final presentation +10,A
1a0785,Edna Greene,78,88,88,great final presentation +10,B
50c022,Daniel Gutierrez,74,74,89,missed homework frequently -10,D
bfc71a,Ben Walters,89,72,59,great final presentation +10,B
be178f,Alfonso Roberts,96,0,94,"cheated on exam, gets 0pts",D
e68fe8,Estelle Rice,72,59,86,missed class frequently -10,C
745eca,Samantha Mitchell,77,114,88,great final presentation +10,A
dea70a,Yolanda Perry,85,89,89,great final presentation +10,A
416a58,Robyn French,73,71,90,missed homework frequently -10,C
aa4eaa,Francis Bailey,81,86,83,great final presentation +10,B
7e74b1,Kara Cortez,-1,95,89,"cheated on exam, gets 0pts",D
cce446,Angel Alvarado,88,67,91,great participation +10,B
bece9b,Sophie Norton,79,73,84,missed class frequently -10,D
eb10df,Kate Cunningham,87,84,78,missed homework frequently -10,B
83818a,Genevieve Moreno,81,91,90,great participation +10,D
16fc65,Kendra Grant,72,77,80,missed homework frequently -10,C
f12b58,Paul Schultz,88,80,92,missed homework frequently -10,C
3cbdb0,Theodore Kennedy,78,81,86,great participation +10,B
93af9d,Bradford Hansen,84,75,82,great final presentation +10,B
fff102,Jaime Hicks,86,70,75,great participation +10,B
61cb66,Marian Harrison,80,99,91,great participation +10,A
63c40e,Fred Maxwell,83,80,84,great final presentation +10,A
228dc0,Charles Love,70,77,77,missed homework frequently -10,B
32b9ff,Jon Harper,96,82,90,great participation +10,A
b82370,Myron Mcguire,2,77,72,"cheated on exam, gets 0pts",F
0500f9,Dan Carlson,92,77,91,great final presentation +10,A
3b6d80,Bill Bush,76,81,82,great final presentation +10,B
24f0df,Woodrow Patrick,87,79,92,great final presentation +10,B
38a6ec,Kelvin Huff,77,81,86,great final presentation +10,C
c29e3c,Geoffrey Curtis,78,74,68,missed homework frequently -10,D
db7c62,Mindy Lindsey,87,71,71,great final presentation +10,B
30f5ea,Leigh Cain,86,92,47,missed homework frequently -10,C
4575aa,Ann Murray,90,90,78,missed class frequently -10,B
ba5948,Louis Scott,87,81,88,great participation +10,A
b6dd2f,Edwin Watson,80,73,68,missed class frequently -10,C
d0a4ce,Preston Diaz,75,92,89,great final presentation +10,B
257755,Fernando Daniels,75,34,74,"cheated on exam, gets 0pts",F
11d2df,Bryant Evans,90,88,87,great final presentation +10,A
e64047,Elvira Chapman,89,90,89,great final presentation +10,A
8bfb9a,Shelia Campbell,78,77,69,great participation +10,B
267224,Glen Rhodes,70,76,71,missed class frequently -10,B
a59996,Don Oliver,81,78,75,missed homework frequently -10,B
bdcaaf,Dixie Cohen,89,87,88,great participation +10,A
98d5be,Audrey Abbott,94,86,89,great final presentation +10,A
139084,Violet Dawson,83,91,80,missed class frequently -10,B
dbaba1,Casey Wilkerson,74,3,70,"cheated on exam, gets 0pts",F
4808b4,Bridget Bowers,88,71,59,great final presentation +10,B
a7e4da,Emilio Frazier,89,84,84,missed homework frequently -10,C
974144,Francisco Conner,83,83,75,missed homework frequently -10,B
91044f,Enrique Gilbert,62,68,85,great participation +10,B
7af3fe,Erica Anderson,82,14,74,"cheated on exam, gets 0pts",F
75490e,Kerry Robertson,79,84,89,great final presentation +10,B
826859,Juan Hodges,77,60,64,missed homework frequently -10,D
c25641,Joel Dixon,89,91,87,great final presentation +10,A
1c4d0a,Dale Chambers,84,63,79,missed class frequently -10,D
ea3967,Alma Nguyen,90,86,87,great participation +10,A
dd3e61,Gustavo Cummings,88,90,90,missed class frequently -10,C
0c20cb,Jerry Coleman,82,94,79,missed homework frequently -10,B
11f388,Patricia Baker,84,85,70,missed homework frequently -10,C
6d92b1,Sean Parker,97,92,86,missed homework frequently -10,B
56684b,Philip Hughes,84,75,85,great final presentation +10,A
fb3045,Anthony Garcia,9,96,94,"cheated on exam, gets 0pts",D
8a6228,Jeffrey Miller,82,76,79,missed class frequently -10,B
fd1f22,James Thomas,74,3,76,"cheated on exam, gets 0pts",F
577281,Clarence Martinez,93,79,90,great final presentation +10,B
781d05,Judy Powell,76,76,85,great participation +10,D
aad144,Ann Ward,91,110,94,great final presentation +10,B
